question_type,question_number,question_text,answer,hint_1,hint_2,hint_3,hint_4,points,bonus_points,bonus_hint_points
recitation,1,Recite Hebrews 11:1,"Now faith is the substance of things hoped for, the evidence of things not seen.",,,,,10,,
recitation,2,Recite Proverbs 3:5,"Trust in the Lord with all your heart, and lean not on your own understanding;",,,,,10,,
recitation,3,Recite Proverbs 3:6,"In all your ways acknowledge Him, and He shall direct your paths.",,,,,10,,
recitation,4,Recite 2 Corinthians 5:7,"For we walk by faith, not by sight.",,,,,10,,
recitation,5,Recite Psalm 56:3,"Whenever I am afraid, I will trust in You.",,,,,10,,
recitation,6,Recite Isaiah 26:3,"You will keep him in perfect peace, whose mind is stayed on You, because he trusts in You.",,,,,10,,
recitation,7,Recite Psalm 37:5,"Commit your way to the Lord, trust also in Him, and He shall bring it to pass.",,,,,10,,
recitation,8,Recite Philippians 4:13,"I can do all things through Christ who strengthens me.",,,,,10,,
recitation,9,Recite Mark 9:23,"Jesus said to him, 'If you can believe, all things are possible to him who believes.'",,,,,10,,
recitation,10,Recite Romans 10:17,"So then faith comes by hearing, and hearing by the word of God.",,,,,10,,
recitation,11,Recite Psalm 1:3,"He shall be like a tree planted by the rivers of water, that brings forth its fruit in its season, whose leaf also shall not wither; and whatever he does shall prosper.",,,,,10,,
recitation,12,Recite 1 Corinthians 13:4,"Love suffers long and is kind; love does not envy; love does not parade itself, is not puffed up;",,,,,10,,
recitation,13,Recite 1 Corinthians 13:13,"And now abide faith, hope, love, these three; but the greatest of these is love.",,,,,10,,
recitation,14,Recite 1 John 4:8,"He who does not love does not know God, for God is love.",,,,,10,,
recitation,15,Recite Romans 12:9,"Let love be without hypocrisy. Abhor what is evil. Cling to what is good.",,,,,10,,
recitation,16,Recite John 15:12,"This is My commandment, that you love one another as I have loved you.",,,,,10,,
recitation,17,Recite Ephesians 4:2,"With all lowliness and gentleness, with longsuffering, bearing with one another in love,",,,,,10,,
recitation,18,Recite Romans 8:32,"He who did not spare His own Son, but delivered Him up for us all, how shall He not with Him also freely give us all things?",,,,,10,,
recitation,19,Recite Romans 13:10,"Love does no harm to a neighbor; therefore love is the fulfillment of the law.",,,,,10,,
recitation,20,Recite Matthew 22:39,"And the second is like it: 'You shall love your neighbor as yourself.'",,,,,10,,
recitation,21,Recite Joshua 1:9,"Have I not commanded you? Be strong and of good courage; do not be afraid, nor be dismayed, for the Lord your God is with you wherever you go.",,,,,10,,
recitation,22,Recite Isaiah 41:10,"Fear not, for I am with you; be not dismayed, for I am your God. I will strengthen you, yes, I will help you, I will uphold you with My righteous right hand.",,,,,10,,
recitation,23,Recite Psalm 46:1,"God is our refuge and strength, a very present help in trouble.",,,,,10,,
recitation,24,Recite Nehemiah 8:10,"Do not sorrow, for the joy of the Lord is your strength.",,,,,10,,
recitation,25,Recite Deuteronomy 31:6,"Be strong and of good courage, do not fear nor be afraid of them; for the Lord your God, He is the One who goes with you. He will not leave you nor forsake you.",,,,,10,,
recitation,26,Recite Philippians 4:6,"Be anxious for nothing, but in everything by prayer and supplication, with thanksgiving, let your requests be made known to God;",,,,,10,,
recitation,27,Recite Psalm 27:1,"The Lord is my light and my salvation; whom shall I fear? The Lord is the strength of my life; of whom shall I be afraid?",,,,,10,,
recitation,28,Recite 2 Timothy 1:7,"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",,,,,10,,
recitation,29,Recite Isaiah 40:31,"But those who wait on the Lord shall renew their strength; they shall mount up with wings like eagles, they shall run and not be weary, they shall walk and not faint.",,,,,10,,
recitation,30,Recite Psalm 55:22,"Cast your burden on the Lord, and He shall sustain you; He shall never permit the righteous to be moved.",,,,,10,,
recitation,31,Recite Jeremiah 29:11,"For I know the thoughts that I think toward you, says the Lord, thoughts of peace and not of evil, to give you a future and a hope.",,,,,10,,
recitation,32,Recite Romans 8:28,"And we know that all things work together for good to those who love God, to those who are the called according to His purpose.",,,,,10,,
recitation,33,Recite Lamentations 3:22,"Through the Lord's mercies we are not consumed, because His compassions fail not.",,,,,10,,
recitation,34,Recite Psalm 30:5,"For His anger is but for a moment, His favor is for life; weeping may endure for a night, but joy comes in the morning.",,,,,10,,
recitation,35,Recite Romans 15:13,"Now may the God of hope fill you with all joy and peace in believing, that you may abound in hope by the power of the Holy Spirit.",,,,,10,,
recitation,36,Recite Colossians 3:23,"And whatever you do, do it heartily, as to the Lord and not to men,",,,,,10,,
recitation,37,Recite Revelation 21:4,"And God will wipe away every tear from their eyes; there shall be no more death, nor sorrow, nor crying. There shall be no more pain, for the former things have passed away.",,,,,10,,
recitation,38,Recite Psalm 121:1–2,"I will lift up my eyes to the hills—from whence comes my help? My help comes from the Lord, who made heaven and earth.",,,,,10,,
recitation,39,Recite Isaiah 43:19,"Behold, I will do a new thing, now it shall spring forth; shall you not know it? I will even make a road in the wilderness and rivers in the desert.",,,,,10,,
recitation,40,Recite Romans 12:12,"Rejoicing in hope, patient in tribulation, continuing steadfastly in prayer;",,,,,10,,
recitation,41,Recite James 1:5,"If any of you lacks wisdom, let him ask of God, who gives to all liberally and without reproach, and it will be given to him.",,,,,10,,
recitation,42,Recite Proverbs 1:7,"The fear of the Lord is the beginning of knowledge, but fools despise wisdom and instruction.",,,,,10,,
recitation,43,Recite Psalm 119:105,"Your word is a lamp to my feet and a light to my path.",,,,,10,,
recitation,44,Recite Proverbs 16:3,"Commit your works to the Lord, and your thoughts will be established.",,,,,10,,
recitation,45,Recite Proverbs 19:21,"There are many plans in a man's heart, nevertheless the Lord's counsel—that will stand.",,,,,10,,
recitation,46,Recite Isaiah 30:21,"Your ears shall hear a word behind you, saying, 'This is the way, walk in it,' whenever you turn to the right hand or whenever you turn to the left.",,,,,10,,
recitation,47,Recite Colossians 3:16,"Let the word of Christ dwell in you richly in all wisdom, teaching and admonishing one another in psalms and hymns and spiritual songs, singing with grace in your hearts to the Lord.",,,,,10,,
recitation,48,Recite Psalm 32:8,"I will instruct you and teach you in the way you should go; I will guide you with My eye.",,,,,10,,
recitation,49,Recite Proverbs 4:7,"Wisdom is the principal thing; therefore get wisdom. And in all your getting, get understanding.",,,,,10,,
recitation,50,Recite Psalm 37:23,"The steps of a good man are ordered by the Lord, and He delights in his way.",,,,,10,,
recitation,51,Recite John 14:27,"Peace I leave with you, My peace I give to you; not as the world gives do I give to you. Let not your heart be troubled, neither let it be afraid.",,,,,10,,
recitation,52,Recite Matthew 11:28,"Come to Me, all you who labor and are heavy laden, and I will give you rest.",,,,,10,,
recitation,53,Recite Psalm 34:18,"The Lord is near to those who have a broken heart, and saves such as have a contrite spirit.",,,,,10,,
recitation,54,Recite Philippians 4:7,"And the peace of God, which surpasses all understanding, will guard your hearts and minds through Christ Jesus.",,,,,10,,
recitation,55,Recite 2 Thessalonians 3:16,"Now may the Lord of peace Himself give you peace always in every way. The Lord be with you all.",,,,,10,,
recitation,56,Recite 1 Peter 5:7,"Casting all your care upon Him, for He cares for you.",,,,,10,,
recitation,57,Recite Psalm 147:3,"He heals the brokenhearted and binds up their wounds.",,,,,10,,
recitation,58,Recite Matthew 5:9,"Blessed are the peacemakers, for they shall be called sons of God.",,,,,10,,
recitation,59,Recite Isaiah 12:2,"Behold, God is my salvation, I will trust and not be afraid; For Yah, the Lord, is my strength and song; He also has become my salvation.",,,,,10,,
recitation,60,Recite Psalm 62:1,"Truly my soul silently waits for God; from Him comes my salvation.",,,,,10,,
recitation,61,Recite Micah 6:8,"He has shown you, O man, what is good; And what does the Lord require of you But to do justly, To love mercy, And to walk humbly with your God?",,,,,10,,
recitation,62,Recite Matthew 6:33,"But seek first the kingdom of God and His righteousness, and all these things shall be added to you.",,,,,10,,
recitation,63,Recite Romans 12:2,"And do not be conformed to this world, but be transformed by the renewing of your mind, that you may prove what is that good and acceptable and perfect will of God.",,,,,10,,
recitation,64,Recite James 1:22,"But be doers of the word, and not hearers only, deceiving yourselves.",,,,,10,,
recitation,65,Recite Psalm 1:1,"Blessed is the man Who walks not in the counsel of the ungodly, Nor stands in the path of sinners, Nor sits in the seat of the scornful.",,,,,10,,
recitation,66,Recite Psalm 19:14,"Let the words of my mouth and the meditation of my heart Be acceptable in Your sight, O Lord, my strength and my Redeemer.",,,,,10,,
recitation,67,Recite Matthew 5:16,"Let your light so shine before men, that they may see your good works and glorify your Father in heaven.",,,,,10,,
recitation,68,Recite Romans 6:23,"For the wages of sin is death, but the gift of God is eternal life in Christ Jesus our Lord.",,,,,10,,
recitation,69,Recite Galatians 5:22–23,"But the fruit of the Spirit is love, joy, peace, longsuffering, kindness, goodness, faithfulness, gentleness, self-control. Against such there is no law.",,,,,10,,
recitation,70,Recite Ephesians 2:10,"For we are His workmanship, created in Christ Jesus for good works, which God prepared beforehand that we should walk in them.",,,,,10,,
recitation,71,Recite Matthew 5:14,"You are the light of the world. A city that is set on a hill cannot be hidden.",,,,,10,,
recitation,72,Recite 1 Thessalonians 5:18,"In everything give thanks; for this is the will of God in Christ Jesus for you.",,,,,10,,
recitation,73,Recite Psalm 100:4,"Enter into His gates with thanksgiving, And into His courts with praise. Be thankful to Him, and bless His name.",,,,,10,,
recitation,74,Recite Jeremiah 33:3,"Call to Me, and I will answer you, and show you great and mighty things, which you do not know.",,,,,10,,
recitation,75,Recite Psalm 118:24,"This is the day the Lord has made; We will rejoice and be glad in it.",,,,,10,,
recitation,76,Recite Galatians 6:9,"And let us not grow weary while doing good, for in due season we shall reap if we do not lose heart.",,,,,10,,
recitation,77,Recite Mark 11:24,"Therefore I say to you, whatever things you ask when you pray, believe that you receive them, and you will have them.",,,,,10,,
recitation,78,Recite Philippians 4:19,"And my God shall supply all your need according to His riches in glory by Christ Jesus.",,,,,10,,
recitation,79,Recite 1 John 5:14,"Now this is the confidence that we have in Him, that if we ask anything according to His will, He hears us.",,,,,10,,
recitation,80,Recite Colossians 4:2,"Continue earnestly in prayer, being vigilant in it with thanksgiving.",,,,,10,,
recitation,81,Recite Psalm 91:1,"He who dwells in the secret place of the Most High Shall abide under the shadow of the Almighty.",,,,,10,,
recitation,82,Recite Psalm 91:11,"For He shall give His angels charge over you, To keep you in all your ways.",,,,,10,,
recitation,83,Recite Psalm 34:7,"The angel of the Lord encamps all around those who fear Him, And delivers them.",,,,,10,,
recitation,84,Recite 2 Samuel 22:31,"As for God, His way is perfect; The word of the Lord is proven; He is a shield to all who trust in Him.",,,,,10,,
recitation,85,Recite Exodus 14:14,"The Lord will fight for you, and you shall hold your peace.",,,,,10,,
recitation,86,Recite Psalm 18:2,"The Lord is my rock and my fortress and my deliverer; My God, my strength, in whom I will trust; My shield and the horn of my salvation, my stronghold.",,,,,10,,
recitation,87,Recite Proverbs 18:10,"The name of the Lord is a strong tower; The righteous run to it and are safe.",,,,,10,,
recitation,88,Recite Psalm 121:7,"The Lord shall preserve you from all evil; He shall preserve your soul.",,,,,10,,
recitation,89,Recite Isaiah 54:17,"No weapon formed against you shall prosper, And every tongue which rises against you in judgment You shall condemn. This is the heritage of the servants of the Lord, And their righteousness is from Me, Says the Lord.",,,,,10,,
recitation,90,Recite Nahum 1:7,"The Lord is good, A stronghold in the day of trouble; And He knows those who trust in Him.",,,,,10,,
recitation,91,Recite Romans 10:9,"That if you confess with your mouth the Lord Jesus and believe in your heart that God has raised Him from the dead, you will be saved.",,,,,10,,
recitation,92,Recite Acts 16:31,"So they said, 'Believe on the Lord Jesus Christ, and you will be saved, you and your household.'",,,,,10,,
recitation,93,Recite John 14:6,"Jesus said to him, 'I am the way, the truth, and the life. No one comes to the Father except through Me.'",,,,,10,,
recitation,94,Recite Ephesians 2:8,"For by grace you have been saved through faith, and that not of yourselves; it is the gift of God.",,,,,10,,
recitation,95,Recite 1 John 1:9,"If we confess our sins, He is faithful and just to forgive us our sins and to cleanse us from all unrighteousness.",,,,,10,,
recitation,96,Recite Titus 3:5,"Not by works of righteousness which we have done, but according to His mercy He saved us, through the washing of regeneration and renewing of the Holy Spirit.",,,,,10,,
recitation,97,Recite Romans 8:1,"There is therefore now no condemnation to those who are in Christ Jesus, who do not walk according to the flesh, but according to the Spirit.",,,,,10,,
recitation,98,Recite John 10:10,"The thief does not come except to steal, and to kill, and to destroy. I have come that they may have life, and that they may have it more abundantly.",,,,,10,,
recitation,99,Recite Revelation 3:20,"Behold, I stand at the door and knock. If anyone hears My voice and opens the door, I will come in to him and dine with him, and he with Me.",,,,,10,,
recitation,100,Recite Romans 5:8,"But God demonstrates His own love toward us, in that while we were still sinners, Christ died for us.",,,,,10,,